,id
0,1454928796767895554
1,1454913581934317573
2,1454864886660485132
3,1454767382363193346
4,1454701738183774212
5,1454689576983822340
6,1454689201841082371
7,1454689176595550208
8,1454688535391268870
9,1454688264242151426
10,1454284721957969923
11,1454284668337942530
12,1453831387446906887
13,1453700548251820032
14,1453615622164725761
15,1453472155296018441
16,1453304032760668166
17,1453119207269355520
18,1453117928988086273
19,1453116737239519237
20,1453116369520795649
21,1452842261415346187
22,1452746622073376768
23,1452746233836048384
24,1452650781581119491
25,1452589859131035658
26,1452568556089094151
27,1452533170667233282
28,1452307290212687879
29,1452146494472032264
30,1452143957442371590
31,1452143939222261760
32,1452143925288837123
33,1452143275796697088
34,1452143094225260545
35,1452142897894068236
36,1452142627776729090
37,1451825041172217866
38,1451780516030697478
39,1451761855370829826
40,1451506653896056842
41,1451466476637020160
42,1451445808570773524
43,1451237493177733130
44,1451202600586526723
45,1451199612736315406
46,1451193735832748047
47,1451193346760658957
48,1450781951028305927
49,1450770873334517761
50,1450697028615475200
51,1450525428221894664
52,1450408304379891712
53,1450237459992924163
54,1450122107585712131
55,1450031322693578752
56,1449957790156476417
57,1449940881356869633
58,1449903049825296391
59,1449765774508318724
60,1449735036614238208
61,1449700851958812673
62,1449656218532950017
63,1449639438745755650
64,1449625929249005576
65,1449625910693429249
66,1449611274229370883
67,1449611166553153536
68,1449610053309251593
69,1449610033977643011
70,1449610021940051973
71,1449608130321530881
72,1449607980912050180
73,1449607818881818625
74,1449367626153533440
75,1449071985292611584
76,1448974027939323920
77,1448864787740327944
78,1448804813106565121
79,1448577362560442369
80,1448557221344956416
81,1448555408860270593
82,1448300122467717124
83,1448250810664693761
84,1448096737009094659
85,1447976423612985352
86,1447710658041102337
87,1447661817417936897
88,1447661722236559368
89,1447583981512310788
90,1447397292462444547
91,1447367036351492099
92,1447364534684069888
93,1447363002567700483
94,1447304876594188289
95,1447279422697058304
96,1447090410057306114
97,1447080747517480960
0,1447080709315760131
1,1447080674700181506
2,1447080625148776448
3,1447079434079465479
4,1447079414672478213
5,1447079402102165506
